Record,Avg,CSN_0,CSN_1,CNS_2,ARP,DHCP,DNS,HTML,ICMP,TCP,UDP,Label
375,0.1974,2,1,0,0,0,0,0,0,3,0,good
376,0.4284,2,1,1,0,0,0,0,0,4,0,good
377,0.0023,120,96,22,0,0,2,0,32,219,0,good
378,0.0086,33,6,6,0,0,0,0,16,43,0,good
379,0.0076,59,27,7,0,0,12,0,10,96,0,good
380,0.0113,24,13,4,0,0,4,0,9,35,0,good
381,0.0033,87,68,7,0,0,0,0,34,139,0,good
382,0.1118,3,2,1,0,0,1,0,1,4,0,good
383,0.0022,127,107,6,0,0,1,0,62,179,0,good
384,0.0127,21,4,3,0,0,6,0,7,26,0,good
385,0.0128,21,19,6,0,0,1,0,1,27,0,good
386,0.0064,47,29,8,0,0,1,0,14,74,0,good
387,0.0167,21,8,7,0,0,0,0,6,38,0,good
388,0.02,26,9,5,2,0,0,0,14,35,0,good
389,0.1073,5,2,1,0,0,4,0,0,5,0,good
390,0.2522,2,1,1,0,0,0,0,1,4,0,good
391,0.0253,12,4,2,0,0,0,0,1,23,0,good
392,0.4814,2,1,1,0,0,0,0,0,5,0,good
393,11.3493,1,0,0,0,0,0,0,0,0,0,good
394,0.2503,2,2,0,0,0,0,0,0,2,0,good
395,0.6745,3,1,1,0,0,0,1,0,2,0,good
396,0.3841,1,1,0,0,0,0,1,0,1,0,good
397,0.6937,1,1,1,0,0,0,0,0,3,0,good
398,0.5696,1,1,1,0,0,0,0,0,3,0,good
399,0.0344,6,6,4,0,0,0,0,0,18,0,good
400,0.2613,1,1,1,0,0,0,0,0,3,0,good
401,0.4219,4,2,2,1,0,0,0,0,8,0,good
402,3.3933,1,1,0,1,0,0,0,0,0,0,good
403,0.1431,3,2,1,0,0,0,0,0,3,0,good
404,0.1542,3,1,1,0,0,0,1,0,2,0,good
405,0.2877,2,1,1,0,0,0,0,0,2,0,good
406,3.4584,1,1,1,0,0,0,0,0,3,0,good
407,0.2223,4,3,1,0,0,0,0,0,9,0,good
408,0.5205,1,1,1,0,0,0,0,0,2,0,good
